,date,bitcoin,eth,solana,aave,fantom,dash crypto
0,2021-01-03,96,53,0,100,80,22
1,2021-01-10,94,39,0,60,74,18
2,2021-01-17,58,31,0,70,64,15
3,2021-01-24,57,33,0,65,61,30
4,2021-01-31,49,43,0,66,61,32
5,2021-02-07,89,50,0,33,60,41
6,2021-02-14,84,49,0,76,59,35
7,2021-02-21,87,48,0,47,80,30
8,2021-02-28,60,32,0,52,64,22
9,2021-03-07,56,35,0,99,51,23
10,2021-03-14,55,30,46,66,53,25
11,2021-03-21,49,27,48,42,40,22
12,2021-03-28,48,34,99,62,75,23
13,2021-04-04,40,33,49,76,53,27
14,2021-04-11,57,47,98,33,41,56
15,2021-04-18,72,46,0,62,84,74
16,2021-04-25,51,46,0,57,55,48
17,2021-05-02,46,96,0,61,64,82
18,2021-05-09,64,100,0,53,39,100
19,2021-05-16,100,88,0,82,100,78
20,2021-05-23,69,67,0,49,45,50
21,2021-05-30,49,45,0,84,61,37
22,2021-06-06,50,37,0,68,72,31
23,2021-06-13,42,32,50,29,56,29
24,2021-06-20,53,37,0,44,62,31
25,2021-06-27,33,30,0,83,47,22
26,2021-07-04,29,24,0,70,70,20
27,2021-07-11,28,23,50,24,48,19
28,2021-07-18,34,27,0,44,44,18
29,2021-07-25,39,28,100,39,46,19
30,2021-08-01,32,40,0,74,49,21
31,2021-08-08,36,43,52,80,45,28
32,2021-08-15,30,35,50,58,45,25
33,2021-08-22,30,33,0,85,60,27
34,2021-08-29,26,42,0,40,53,26
35,2021-09-05,38,38,0,47,47,31
36,2021-09-12,27,29,53,55,42,25
37,2021-09-19,35,32,0,81,35,26
38,2021-09-26,28,27,0,25,44,23
39,2021-10-03,35,32,52,25,48,33
40,2021-10-10,40,34,54,31,43,33
41,2021-10-17,56,43,0,54,37,33
