,date,bitcoin,eth,solana,aave,litecoin
0,2021-01-03,100,52,0,78,98
1,2021-01-10,95,37,0,75,74
2,2021-01-17,60,29,0,100,39
3,2021-01-24,58,34,48,61,48
4,2021-01-31,52,44,0,44,48
5,2021-02-07,90,50,0,57,94
6,2021-02-14,85,48,0,68,100
7,2021-02-21,92,45,0,98,71
8,2021-02-28,60,30,100,40,45
9,2021-03-07,58,34,0,85,58
10,2021-03-14,60,29,0,91,47
11,2021-03-21,51,25,0,44,39
12,2021-03-28,51,35,50,77,38
13,2021-04-04,41,32,100,71,49
14,2021-04-11,60,45,0,45,84
15,2021-04-18,75,48,0,45,78
16,2021-04-25,51,45,0,27,54
17,2021-05-02,48,94,0,45,94
18,2021-05-09,67,100,0,82,97
19,2021-05-16,100,88,0,68,69
20,2021-05-23,72,65,0,37,56
21,2021-05-30,50,43,0,51,37
22,2021-06-06,56,36,0,73,31
23,2021-06-13,43,31,0,37,28
24,2021-06-20,53,35,0,69,29
25,2021-06-27,35,29,51,51,22
26,2021-07-04,30,25,0,67,16
27,2021-07-11,29,25,0,46,17
28,2021-07-18,35,27,0,56,18
29,2021-07-25,40,28,0,37,20
30,2021-08-01,34,41,0,70,19
31,2021-08-08,37,41,0,42,27
32,2021-08-15,33,34,51,70,29
33,2021-08-22,32,32,52,80,24
34,2021-08-29,27,42,0,48,26
35,2021-09-05,38,40,0,39,27
36,2021-09-12,28,30,53,67,37
37,2021-09-19,36,31,0,53,22
38,2021-09-26,28,28,0,63,17
39,2021-10-03,35,30,0,34,24
40,2021-10-10,40,34,0,44,25
41,2021-10-17,58,44,0,45,32
